id,title,popularity,poster_path
406990,What Happened to Monday,38.259845,https://image.tmdb.org/t/p/original/xfFoewesyuWRVh4qBbXbMhH6gm7.jpg
19995,Avatar,38.114134,https://image.tmdb.org/t/p/original/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg
274857,King Arthur: Legend of the Sword,37.753942,https://image.tmdb.org/t/p/original/qyXPqzlCWf3T9VEpBtquUQZwsgi.jpg
24428,The Avengers,37.549168,https://image.tmdb.org/t/p/original/cezWGskPY5x7GaglTTRN4Fugfb8.jpg
185689,Beauty in Rope Hell,37.397462,https://image.tmdb.org/t/p/original/4SMbipp1rB3XgX4XvjH5aVzcKPk.jpg
416477,The Big Sick,37.331277,https://image.tmdb.org/t/p/original/8TwlqUfJXuM3hfw8RfFT7iBZc2N.jpg
285,Pirates of the Caribbean: At World's End,37.330819,https://image.tmdb.org/t/p/original/bXb00CkHqx7TPchTGG131sWV59y.jpg
210577,Gone Girl,37.308907,https://image.tmdb.org/t/p/original/gdiLTof3rbPDAmPaCf4g6op46bj.jpg
209112,Batman v Superman: Dawn of Justice,37.148295,https://image.tmdb.org/t/p/original/cGOPbv9wA5gEejkUN892JrveARt.jpg
329865,Arrival,36.868316,https://image.tmdb.org/t/p/original/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg
244786,Whiplash,36.797741,https://image.tmdb.org/t/p/original/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg
246655,X-Men: Apocalypse,36.613276,https://image.tmdb.org/t/p/original/zSouWWrySXshPCT4t3UKCQGayyo.jpg
395992,Life,36.428518,https://image.tmdb.org/t/p/original/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg
672,Harry Potter and the Chamber of Secrets,36.141961,https://image.tmdb.org/t/p/original/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
2670,Stephen King's It,35.947006,https://image.tmdb.org/t/p/original/paW0Tc8qNsddCuMJ9M1WnNgOvy1.jpg
284052,Doctor Strange,35.741239,https://image.tmdb.org/t/p/original/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg
259316,Fantastic Beasts and Where to Find Them,35.142986,https://image.tmdb.org/t/p/original/dXwbjYyZH1Se0IS3oVcPdvueLKd.jpg
120,The Lord of the Rings: The Fellowship of the Ring,35.070752,https://image.tmdb.org/t/p/original/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg
671,Harry Potter and the Philosopher's Stone,34.528678,https://image.tmdb.org/t/p/original/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg
337339,The Fate of the Furious,34.406609,https://image.tmdb.org/t/p/original/iNpz2DgTsTMPaDRZq2tnbqjL2vF.jpg
348893,Boyka: Undisputed IV,34.156726,https://image.tmdb.org/t/p/original/mWiqc87iTs1qujxm2Q0NRzGvWSN.jpg
550,Fight Club,33.788654,https://image.tmdb.org/t/p/original/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg
351460,Death Note,33.753371,https://image.tmdb.org/t/p/original/fJAvGOitU8y53ByeHnM4avtKFaG.jpg
99861,Avengers: Age of Ultron,33.660169,https://image.tmdb.org/t/p/original/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg
381288,Split,33.623257,https://image.tmdb.org/t/p/original/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg
284053,Thor: Ragnarok,33.340286,https://image.tmdb.org/t/p/original/avy7IR8UMlIIyE2BPCI4plW4Csc.jpg
207703,Kingsman: The Secret Service,33.325186,https://image.tmdb.org/t/p/original/8x7ej0LnHdKUqilNNJXYOeyB6L9.jpg
1865,Pirates of the Caribbean: On Stranger Tides,32.818636,https://image.tmdb.org/t/p/original/wNUDAq5OUMOtxMlz64YaCp7gZma.jpg
140607,Star Wars: The Force Awakens,32.777186,https://image.tmdb.org/t/p/original/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg
278,The Shawshank Redemption,32.67108,https://image.tmdb.org/t/p/original/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg
